bird_id,theme,head,eyes,body,tail,wingLeft,wingRight,feet,beak
2054,defaultyellow,var4,1f60d,var4,var4,var4,1f409,var4,1f60d
2055,lola,var4,1f60d,var4,var4,var4,var4,var4,1f60d
2058,hymn,1f4a7,1f60d,var4,var4,var4,var4,var4,1f60d
2059,mango,var2,263a-fe0f,var2,var2,var2,var2,var2,263a-fe0f
2060,hymn,var1,1f60e,var1,var1,var1,1f4a7,var1,1f60e
2061,duckeggblue,var0,1f60e,var0,var0,1f916,var0,var0,1f60e
2063,red,var0,1f62c,var0,1f525,var0,var0,var0,1f62c
2065,blue,var2,1f60d,var2,1f48e,1f48e,var2,var2,1f60d
2066,duckeggblue,var2,1f60d,var2,var2,var2,var2,var2,1f60d
2067,duckeggblue,var0,1f60d,var0,var0,1f916,var0,var0,1f60d
2068,seafoam,var1,1f609,var1,var1,var1,1f409,var1,1f609
2069,nightwing,var2,1f62c,var2,var2,var2,var2,var2,1f62c
2070,defaultyellow,var2,1f92f,var2,var2,var2,var2,var2,1f92f
2071,black,goldtrim,1f47f,var3,var3,var3,var3,var3,1f47f
2072,retrosteel,var3,1f618,var3,var3,var3,var3,var3,1f618
2073,defaultyellow,2694-fe0f,1f60e,var0,var0,var0,var0,var0,1f60e
2074,seafoam,var2,1f970,var2,1f409,1f409,1f409,var2,1f970
2075,chilipepper,var0,263a-fe0f,var0,var0,1f525,var0,var0,263a-fe0f
2076,oddworldabe,1f98b,1f60f,var1,var1,var1,var1,var1,1f60f
2077,red,1f525,1f60e,var0,1f525,var0,1f525,var0,1f60e
2078,rift,var0,1f60f,var0,cyberbird,var0,var0,var0,1f60f
2079,red,1fa78,var3,var1,var1,var1,1fa78,var1,1f54a-fe0f
2080,ocean,var1,1f62c,var1,var1,var1,var1,var1,1f62c
2081,eggplant,var0,1f970,var0,var0,1f30a,var0,var0,1f970
2083,defaultyellow,var4,1f92f,var4,var4,var4,var4,var4,1f92f
2084,electrik,1f9be,1f618,var3,var3,var3,var3,var3,1f618
2085,retrosteel,var4,1f970,var4,var4,var4,var4,var4,1f970
2086,defaultyellow,var4,1f60d,var4,var4,var4,var4,var4,1f60d
2088,red,1f525,1f609,var0,var0,var0,var0,var0,1f609
2089,camouflage,var2,1f970,var2,var2,var2,var2,var2,1f970
2090,pumpkin,var3,1f60e,var3,var3,1f525,var3,var3,1f60e
2091,red,var2,1f609,var2,var2,var2,1f525,var2,1f609
2092,defaultyellow,1f30a,1f60d,var2,1f30a,var2,var2,var2,1f60d
2093,lola,var3,1f47f,var3,var3,var3,1f525,var3,1f47f
2094,pumpkin,var3,263a-fe0f,var3,var3,var3,var3,var3,263a-fe0f
2095,pumpkin,var1,1f60e,var1,1f30b,1f30b,1f30b,var1,1f60e
2096,chocolate,1f98b,1f60d,var1,var1,1f98b,var1,var1,1f60d
2097,lola,var3,1f970,var3,1f525,var3,var3,var3,1f970
2098,defaultyellow,var2,1f970,var2,var2,var2,var2,var2,1f970
2099,blue,var3,1f9df,var3,1f9de-200d-2642-fe0f,var3,var3,var3,1f9df
2101,chocolate,var2,1f60e,var2,var2,var2,var2,var2,1f60e
2102,pistachio,var3,1f970,var3,var3,var3,var3,var3,1f970
2103,pinegreen,var4,1f609,var4,var4,var4,var4,var4,1f609
2104,sunkissed,var2,1f609,var2,var2,1f9be,var2,var2,1f609
2105,defaultyellow,var4,1f970,var4,var4,var4,var4,var4,1f970
2108,pumpkin,var1,rasta,var1,goldtrim,var1,var1,var1,rasta
2109,sunkissed,var3,263a-fe0f,var3,var3,var3,var3,var3,263a-fe0f
2110,defaultyellow,var3,1f92f,var3,1f9be,var3,var3,var3,1f92f
2111,duckeggblue,1f916,1f60e,var4,var4,var4,var4,var4,1f60e
2112,red,1f525,1f970,var2,1f525,var2,var2,var2,1f970
2113,gold,var3,1f618,var3,1f30b,var3,var3,var3,1f618
2114,hymn,var3,1f618,var3,var3,var3,var3,var3,1f618
2115,bandicoot,var3,1f62c,var3,1f525,var3,var3,var3,1f62c
2117,defaultyellow,var0,var0,var0,var0,1f525,1f525,var0,1f54a-fe0f
2118,seafoam,var4,1f62c,var4,var4,1f409,var4,var4,1f62c
2119,hell,goldtrim,1f60e,var4,var4,var4,var4,var4,1f60e
2120,chilipepper,1fa78,1f618,var3,var3,1fa78,var3,var3,1f618
2121,gumpop,1f30b,1f60d,var1,1f30b,var1,1f30b,var1,1f60d
2122,defaultyellow,var4,1f60d,var4,var4,1f409,var4,var4,1f60d
2123,periwinkle,var1,1f970,var1,var1,var1,var1,var1,1f970
2125,olive,var4,rasta,var4,var4,1f30b,var4,var4,rasta
2127,eggplant,var0,1f60e,var0,1f48e,var0,var0,var0,1f60e
2128,defaultyellow,var0,1f609,var0,var0,var0,var0,var0,1f609
2129,defaultyellow,cyberbird,1f60d,var2,var2,cyberbird,var2,var2,1f60d
2130,red,var4,1f970,var4,var4,var4,var4,var4,1f970
2132,wine,var3,1f970,var3,1f30b,var3,var3,var3,1f970
2133,red,var2,1f32b,var2,var2,var2,var2,var2,var1
2134,lola,var1,1f60e,var1,var1,var1,1f525,var1,1f60e
2135,nightwing,var1,1f62c,var1,1f916,var1,var1,var1,1f62c
2136,ocean,var0,1f92f,var0,var0,var0,1f32a-fe0f,var0,1f92f
2137,denim,var2,rasta,var2,var2,var2,var2,var2,rasta
2138,periwinkle,var2,1f618,var2,var2,var2,var2,var2,1f618
2140,seafoam,1f409,1f618,var3,var3,1f409,1f409,var3,1f618
2142,pumpkin,1fa78,1f618,var1,var1,var1,1fa78,var1,1f618
2144,defaultyellow,var0,263a-fe0f,var0,var0,2694-fe0f,var0,var0,263a-fe0f
2145,pinegreen,var2,1f970,var2,var2,var2,var2,var2,1f970
2146,chocolate,var2,1f92f,var2,1f98b,var2,var2,var2,1f92f
2148,sunkissed,var4,1f970,var4,var4,var4,var4,var4,1f970
2149,eggplant,var4,263a-fe0f,var4,1f48e,var4,var4,var4,263a-fe0f
2150,punkblue,var1,1f60e,var1,var1,var1,var1,var1,1f60e
2151,nightwing,var4,1f970,var4,1f916,var4,var4,var4,1f970
2152,defaultyellow,1f409,1f60d,var2,1f409,var2,var2,var2,1f60d
2155,defaultyellow,var2,1f60e,var2,var2,var2,var2,var2,1f60e
2156,gumpop,goldtrim,1f976,var4,var4,var4,goldtrim,var4,1f976
2158,sunset,var4,1f60f,var4,1f30b,var4,var4,var4,1f60f
2160,icicle,var1,1f60d,var1,var1,var1,var1,var1,1f60d
2161,eggplant,1f30b,rasta,var3,var3,var3,var3,var3,rasta
2162,retrosteel,1f30a,1f970,var0,var0,var0,1f30a,var0,1f970
2163,gold,1f30b,1f620,var1,var1,var1,var1,var1,1f620
